rechargeTypeId;version;rechargeType;rechargeTypeDesc;rechargeAssessmentReq;taxCode;validFrom;validTo;comment
RT012;"012";DATA;DATA Recharge 12;true;TX012;2025-01-01;2025-12-31;A comprehensive data plan perfect for heavy internet users. With high-speed data and bonus packs, you can stream, browse, and game without worries. Includes night data bonuses and top-up options.
RT013;"013";INTERNATIONAL;INTERNATIONAL Recharge 13;false;TX013;2025-01-01;2025-12-31;Designed for international travelers, this plan offers cost-effective data and call rates abroad. Roam in multiple countries without switching SIMs. Includes support in native languages.
RT014;"014";ROAMING;ROAMING Recharge 14;true;TX014;2025-01-01;2025-12-31;This roaming recharge enables seamless communication while you travel across regions. Enjoy free incoming calls, discounted data, and fast activation. Reliable coverage in domestic and cross-border zones.
RT015;"015";PREPAID;PREPAID Recharge 15;false;TX015;2025-01-01;2025-12-31;A simple and affordable prepaid plan with no hidden charges. Choose from daily, weekly, or monthly packs. Recharge on the go and enjoy uninterrupted services with instant activation and auto-renewal.
RT016;"016";POSTPAID;POSTPAID Recharge 16;true;TX016;2025-01-01;2025-12-31;This postpaid recharge plan is tailored for regular mobile users. It includes flexible billing, unlimited calls, and attractive data packs. Ideal for users looking for consistency and reliability.
RT017;"017";DATA;DATA Recharge 17;false;TX017;2025-01-01;2025-12-31;A comprehensive data plan perfect for heavy internet users. With high-speed data and bonus packs, you can stream, browse, and game without worries. Includes night data bonuses and top-up options.
RT018;"018";INTERNATIONAL;INTERNATIONAL Recharge 18;true;TX018;2025-01-01;2025-12-31;Designed for international travelers, this plan offers cost-effective data and call rates abroad. Roam in multiple countries without switching SIMs. Includes support in native languages.
RT019;"019";ROAMING;ROAMING Recharge 19;false;TX019;2025-01-01;2025-12-31;This roaming recharge enables seamless communication while you travel across regions. Enjoy free incoming calls, discounted data, and fast activation. Reliable coverage in domestic and cross-border zones.
RT020;"020";PREPAID;PREPAID Recharge 20;true;TX020;2025-01-01;2025-12-31;A simple and affordable prepaid plan with no hidden charges. Choose from daily, weekly, or monthly packs. Recharge on the go and enjoy uninterrupted services with instant activation and auto-renewal.
RT021;"021";POSTPAID;POSTPAID Recharge 21;false;TX021;2025-01-01;2025-12-31;This postpaid recharge plan is tailored for regular mobile users. It includes flexible billing, unlimited calls, and attractive data packs. Ideal for users looking for consistency and reliability.
RT022;"022";DATA;DATA Recharge 22;true;TX022;2025-01-01;2025-12-31;A comprehensive data plan perfect for heavy internet users. With high-speed data and bonus packs, you can stream, browse, and game without worries. Includes night data bonuses and top-up options.
RT023;"023";INTERNATIONAL;INTERNATIONAL Recharge 23;false;TX023;2025-01-01;2025-12-31;Designed for international travelers, this plan offers cost-effective data and call rates abroad. Roam in multiple countries without switching SIMs. Includes support in native languages.
RT024;"024";ROAMING;ROAMING Recharge 24;true;TX024;2025-01-01;2025-12-31;This roaming recharge enables seamless communication while you travel across regions. Enjoy free incoming calls, discounted data, and fast activation. Reliable coverage in domestic and cross-border zones.
RT025;"025";PREPAID;PREPAID Recharge 25;false;TX025;2025-01-01;2025-12-31;A simple and affordable prepaid plan with no hidden charges. Choose from daily, weekly, or monthly packs. Recharge on the go and enjoy uninterrupted services with instant activation and auto-renewal.
RT026;"026";POSTPAID;POSTPAID Recharge 26;true;TX026;2025-01-01;2025-12-31;This postpaid recharge plan is tailored for regular mobile users. It includes flexible billing, unlimited calls, and attractive data packs. Ideal for users looking for consistency and reliability.
RT027;"027";DATA;DATA Recharge 27;false;TX027;2025-01-01;2025-12-31;A comprehensive data plan perfect for heavy internet users. With high-speed data and bonus packs, you can stream, browse, and game without worries. Includes night data bonuses and top-up options.
RT028;"028";INTERNATIONAL;INTERNATIONAL Recharge 28;true;TX028;2025-01-01;2025-12-31;Designed for international travelers, this plan offers cost-effective data and call rates abroad. Roam in multiple countries without switching SIMs. Includes support in native languages.
RT029;"029";ROAMING;ROAMING Recharge 29;false;TX029;2025-01-01;2025-12-31;This roaming recharge enables seamless communication while you travel across regions. Enjoy free incoming calls, discounted data, and fast activation. Reliable coverage in domestic and cross-border zones.
RT030;"030";PREPAID;PREPAID Recharge 30;true;TX030;2025-01-01;2025-12-31;A simple and affordable prepaid plan with no hidden charges. Choose from daily, weekly, or monthly packs. Recharge on the go and enjoy uninterrupted services with instant activation and auto-renewal.
